quote,author,tags
be yourself everyone else is already taken.,Oscar Wilde,"['be-yourself', 'gilbert-perreira', 'honesty', 'inspirational', 'misattributed-oscar-wilde', 'quote-investigator']"
"im selfish, impatient and a little insecure. i make mistakes, i am out of control and at times hard to handle. but if you cant handle me at my worst, then you sure as hell dont deserve me at my best.",Marilyn Monroe,"['best', 'life', 'love', 'mistakes', 'out-of-control', 'truth', 'worst']"
two things are infinite the universe and human stupidity and im not sure about the universe.,Albert Einstein,"['human-nature', 'humor', 'infinity', 'philosophy', 'science', 'stupidity', 'universe']"
"so many books, so little time.",Frank Zappa,"['books', 'humor']"
a room without books is like a body without a soul.,Marcus Tullius Cicero,"['books', 'simile', 'soul']"
"be who you are and say what you feel, because those who mind dont matter, and those who matter dont mind.",Bernard M. Baruch,"['ataraxy', 'be-yourself', 'confidence', 'fitting-in', 'individuality', 'misattributed-dr-seuss', 'those-who-matter']"
"youve gotta dance like theres nobody watching,love like youll never be hurt,sing like theres nobody listening,and live like its heaven on earth.",William W. Purkey,"['dance', 'heaven', 'hurt', 'inspirational', 'life', 'love', 'sing']"
you know youre in love when you cant fall asleep because reality is finally better than your dreams.,Dr. Seuss,"['dreams', 'love', 'reality', 'sleep']"
"you only live once, but if you do it right, once is enough.",Mae West,"['humor', 'life']"
be the change that you wish to see in the world.,Mahatma Gandhi,"['action', 'change', 'inspirational', 'philosophy', 'wish']"
in three words i can sum up everything ive learned about life it goes on.,Robert Frost,['life']
"if you want to know what a mans like, take a good look at how he treats his inferiors, not his equals.","J.K. Rowling,","['character', 'sirius-black']"
donât walk in front of meâ i may not followdonât walk behind meâ i may not leadwalk beside meâ just be my friend,Albert Camus,"['friends', 'friendship', 'misattributed-albert-camus']"
"if you tell the truth, you dont have to remember anything.",Mark Twain,"['lies', 'lying', 'memory', 'truth']"
"friendship ... is born at the moment when one man says to another ""what! you too? i thought that no one but myself . . .","C.S. Lewis,",['friendship']
a friend is someone who knows all about you and still loves you.,Elbert Hubbard,"['friend', 'friendship', 'knowledge', 'love']"
always forgive your enemies nothing annoys them so much.,Oscar Wilde,"['enemies', 'forgiveness', 'strategy']"
"to live is the rarest thing in the world. most people exist, that is all.",Oscar Wilde,['life']
live as if you were to die tomorrow. learn as if you were to live forever.,Mahatma Gandhi,"['carpe-diem', 'education', 'inspirational', 'learning']"
darkness cannot drive out darkness only light can do that. hate cannot drive out hate only love can do that.,"Martin Luther King Jr.,","['darkness', 'drive-out', 'hate', 'inspirational', 'light', 'love', 'peace']"
"without music, life would be a mistake.","Friedrich Nietzsche,","['inspirational', 'music', 'philosophy']"
we accept the love we think we deserve.,"Stephen Chbosky,","['inspirational', 'love']"
i am so clever that sometimes i dont understand a single word of what i am saying.,"Oscar Wilde,","['intelligence', 'self-deprecation']"
to be yourself in a world that is constantly trying to make you something else is the greatest accomplishment.,Ralph Waldo Emerson,"['accomplishment', 'be-yourself', 'conformity', 'individuality']"
"heres to the crazy ones. the misfits. the rebels. the troublemakers. the round pegs in the square holes. the ones who see things differently. theyre not fond of rules. and they have no respect for the status quo. you can quote them, disagree with them, glorify or vilify them. about the only thing you cant do is ignore them. because they change things. they push the human race forward. and while some may see them as the crazy ones, we see genius. because the people who are crazy enough to think they can change the world, are the ones who do.",Rob Siltanen,"['advertising', 'apple', 'change', 'commercial', 'computers', 'different', 'madness', 'misattributed-apple', 'misattributed-steve-jobs', 'misfits', 'nonconformity', 'progressive', 'rebels', 'status-quo', 'think-different', 'troublemakers']"
"insanity is doing the same thing, over and over again, but expecting different results.",Narcotics Anonymous,"['humor', 'insanity', 'life', 'misattributed-ben-franklin', 'misattributed-mark-twain', 'misattributed-to-einstein']"
"i believe that everything happens for a reason. people change so that you can learn to let go, things go wrong so that you appreciate them when theyre right, you believe lies so you eventually learn to trust no one but yourself, and sometimes good things fall apart so better things can fall together.",Marilyn Monroe,['misattributed-marilyn-monroe']
twenty years from now you will be more disappointed by the things that you didnt do than by the ones you did do. so throw off the bowlines. sail away from the safe harbor. catch the trade winds in your sails. explore. dream. discover.,"H. Jackson Brown Jr.,","['actions', 'disappointed', 'disappointment', 'dream', 'dreams', 'explore', 'misattributed-mark-twain', 'sail']"
it is better to be hated for what you are than to be loved for what you are not.,"Andre Gide,","['life', 'love']"
"only once in your life, i truly believe, you find someone who can completely turn your world around. you tell them things that youâve never shared with another soul and they absorb everything you say and actually want to hear more. you share hopes for the future, dreams that will never come true, goals that were never achieved and the many disappointments life has thrown at you. when something wonderful happens, you canât wait to tell them about it, knowing they will share in your excitement. they are not embarrassed to cry with you when you are hurting or laugh with you when you make a fool of yourself. never do they hurt your feelings or make you feel like you are not good enough, but rather they build you up and show you the things about yourself that make you special and even beautiful. there is never any pressure, jealousy or competition but only a quiet calmness when they are around. you can be yourself and not worry about what they will think of you because they love you for who you are. the things that seem insignificant to most people such as a note, song or walk become invaluable treasures kept safe in your heart to cherish forever. memories of your childhood come back and are so clear and vivid itâs like being young again. colours seem brighter and more brilliant. laughter seems part of daily life where before it was infrequent or didnât exist at all. a phone call or two during the day helps to get you through a long dayâs work and always brings a smile to your face. in their presence, thereâs no need for continuous conversation, but you find youâre quite content in just having them nearby. things that never interested you before become fascinating because you know they are important to this person who is so special to you. you think of this person on every occasion and in everything you do. simple things bring them to mind like a pale blue sky, gentle wind or even a storm cloud on the horizon. you open your heart knowing that thereâs a chance it may be broken one day and in opening your heart, you experience a love and joy that you never dreamed possible. you find that being vulnerable is the only way to allow your heart to feel true pleasure thatâs so real it scares you. you find strength in knowing you have a true friend and possibly a soul mate who will remain loyal to the end. life seems completely different, exciting and worthwhile. your only hope and security is in knowing that they are a part of your life.",Bob Marley,['love']
"all that is gold does not glitter,not all those who wander are lostthe old that is strong does not wither,deep roots are not reached by the frost.from the ashes a fire shall be woken,a light from the shadows shall springrenewed shall be blade that was broken,the crownless again shall be king.","J.R.R. Tolkien,","['frost', 'glitter', 'gold', 'lost', 'poetry', 'roots', 'strength', 'strong', 'wander', 'wither']"
"it is our choices, harry, that show what we truly are, far more than our abilities.","J.K. Rowling,","['abilities', 'choices']"
"the person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.","Jane Austen,","['aliteracy', 'books', 'classic', 'humor']"
"imperfection is beauty, madness is genius and its better to be absolutely ridiculous than absolutely boring.",Marilyn Monroe,"['be-yourself', 'inspirational']"
there are only two ways to live your life. one is as though nothing is a miracle. the other is as though everything is a miracle.,Albert Einstein,"['inspirational', 'life', 'live', 'miracle', 'miracles']"
it does not do to dwell on dreams and forget to live.,"J.K. Rowling,","['dreams', 'life']"
"good friends, good books, and a sleepy conscience this is the ideal life.",Mark Twain,"['books', 'contentment', 'friends', 'friendship', 'life']"
"as he read, i fell in love the way you fall asleep slowly, and then all at once.","John Green,",['love']
"we are all in the gutter, but some of us are looking at the stars.","Oscar Wilde,","['inspirational', 'optimism', 'perception', 'pessimism']"
"fairy tales are more than true not because they tell us that dragons exist, but because they tell us that dragons can be beaten.","Neil Gaiman,","['books', 'dragons', 'fairy-tales', 'inspirational', 'paraphrasing-g-k-chesterton']"
"it is better to remain silent at the risk of being thought a fool, than to talk and remove all doubt of it.","Maurice Switzer,","['misattributed-to-abraham-lincoln', 'misattributed-to-mark-twain', 'remaining-silent', 'wisdom']"
"the fool doth think he is wise, but the wise man knows himself to be a fool.","William Shakespeare,",['wisdom']
"whenever you find yourself on the side of the majority, it is time to reform or pause and reflect.",Mark Twain,"['individuality', 'majority', 'minority', 'pause', 'reflect', 'wisdom']"
life is what happens to us while we are making other plans.,Allen Saunders,"['fate', 'life', 'misattributed-john-lennon', 'planning', 'plans']"
"yesterday is history, tomorrow is a mystery, today is a gift of god, which is why we call it the present.",Bill Keane,"['hope', 'inspirational', 'misattributed-eleanor-roosevelt', 'past', 'present', 'widely-misattributed']"
"i have not failed. ive just found 10,000 ways that wont work.",Thomas A. Edison,"['edison', 'failure', 'inspirational', 'paraphrased']"
"it is not a lack of love, but a lack of friendship that makes unhappy marriages.",Friedrich Nietzsche,"['friendship', 'lack-of-friendship', 'lack-of-love', 'love', 'marriage', 'unhappy-marriage']"
"the opposite of love is not hate, its indifference. the opposite of art is not ugliness, its indifference. the opposite of faith is not heresy, its indifference. and the opposite of life is not death, its indifference.",Elie Wiesel,"['activism', 'apathy', 'hate', 'indifference', 'inspirational', 'love', 'opposite', 'philosophy']"
a woman is like a tea bag you never know how strong it is until its in hot water.,Eleanor Roosevelt,['misattributed-eleanor-roosevelt']
the man who does not read has no advantage over the man who cannot read.,Mark Twain,"['aliteracy', 'literacy']"
if you dont stand for something you will fall for anything.,Gordon A. Eadie,"['belief', 'integrity', 'misattributed-to-malcolm-x', 'misattributed-to-rosa-parks']"
"i may not have gone where i intended to go, but i think i have ended up where i needed to be.","douglas adams,","['life', 'navigation']"
"i love you without knowing how, or when, or from where. i love you simply, without problems or pride i love you in this way because i do not know any other way of loving but this, in which there is no i or you, so intimate that your hand upon my chest is my hand, so intimate that when i fall asleep your eyes close.","Pablo Neruda,","['love', 'poetry']"
i solemnly swear that i am up to no good.,"J.K. Rowling,",['mischief']
"outside of a dog, a book is mans best friend. inside of a dog its too dark to read.","Groucho Marx,","['animals', 'books', 'dogs', 'friends', 'humor']"
i am enough of an artist to draw freely upon my imagination. imagination is more important than knowledge. knowledge is limited. imagination encircles the world.,Albert Einstein,"['1929', 'imagination', 'inspirational', 'viereck-interview']"
"love all, trust a few, do wrong to none.","William Shakespeare,","['do-wrong', 'love', 'trust', 'wrong']"
"i like nonsense, it wakes up the brain cells. fantasy is a necessary ingredient in living.",Dr. Seuss,['fantasy']
have you ever been in love? horrible isnt it? it makes you so vulnerable. it opens your chest and it opens up your heart and it means that someone can get inside you and mess you up.,"Neil Gaiman,",['love']
"a day without sunshine is like, you know, night.",Steve Martin,"['humor', 'obvious', 'simile']"
"a reader lives a thousand lives before he dies, said jojen. the man who never reads lives only one.","George R.R. Martin,","['read', 'readers', 'reading', 'reading-books']"
never put off till tomorrow what may be done day after tomorrow just as well.,Mark Twain,"['humor', 'procrastination']"
you have brains in your head. you have feet in your shoes. you can steer yourself any direction you choose. youre on your own. and you know what you know. and you are the one wholl decide where to go...,"Dr. Seuss,",['inspirational']
that which does not kill us makes us stronger.,Friedrich Nietzsche,"['paraphrased', 'strength']"
"being deeply loved by someone gives you strength, while loving someone deeply gives you courage.",Lao Tzu,"['courage', 'deeply-loved', 'love', 'strength', 'widely-misattributed']"
it is never too late to be what you might have been.,George Eliot,"['inspirational', 'source-unknown']"
for every minute you are angry you lose sixty seconds of happiness.,Ralph Waldo Emerson,['happiness']
"it takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.","J.K. Rowling,","['albus-dumbledore', 'courage', 'friends']"
"this life is what you make it. no matter what, youre going to mess up sometimes, its a universal truth. but the good part is you get to decide how youre going to mess it up. girls will be your friends theyll act like it anyway. but just remember, some come, some go. the ones that stay with you through everything theyre your true best friends. dont let go of them. also remember, sisters make the best friends in the world. as for lovers, well, theyll come and go too. and baby, i hate to say it, most of them actually pretty much all of them are going to break your heart, but you cant give up because if you give up, youll never find your soulmate. youll never find that half who makes you whole and that goes for everything. just because you fail once, doesnt mean youre gonna fail at everything. keep trying, hold on, and always, always, always believe in yourself, because if you dont, then who will, sweetie? so keep your head high, keep your chin up, and most importantly, keep smiling, because lifes a beautiful thing and theres so much to smile about.",Marilyn Monroe,"['friends', 'heartbreak', 'inspirational', 'life', 'love', 'sisters']"
i love deadlines. i love the whooshing noise they make as they go by.,"Douglas Adams,","['deadlines', 'humor', 'humour', 'work', 'writing']"
"if you judge people, you have no time to love them.",Mother Teresa,[]
"there is never a time or place for true love. it happens accidentally, in a heartbeat, in a single flashing, throbbing moment.","Sarah Dessen,",['love']
"if you cant explain it to a six year old, you dont understand it yourself.",Albert Einstein,"['simplicity', 'understand']"
"im not upset that you lied to me, im upset that from now on i cant believe you.",Friedrich Nietzsche,"['lies', 'lying', 'trust']"
there is no greater agony than bearing an untold story inside you.,"Maya Angelou,","['1970', 'inspirational', 'stories', 'writing']"
love is that condition in which the happiness of another person is essential to your own.,"Robert A. Heinlein,","['essential', 'happiness', 'love']"
anyone who thinks sitting in church can make you a christian must also think that sitting in a garage can make you a car.,Garrison Keillor,"['humor', 'religion']"
"if you only read the books that everyone else is reading, you can only think what everyone else is thinking.","Haruki Murakami,","['books', 'thought']"
i have always imagined that paradise will be a kind of library.,Jorge Luis Borges,"['books', 'library']"
everything you can imagine is real.,Pablo Picasso,"['art', 'imagination', 'inspirational', 'life']"
"women and cats will do as they please, and men and dogs should relax and get used to the idea.",Robert A. Heinlein,"['cats', 'humor', 'women']"
sometimes the questions are complicated and the answers are simple.,Dr. Seuss,['life']
"you may not be her first, her last, or her only. she loved before she may love again. but if she loves you now, what else matters? shes not perfectâyou arent either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. she may not be thinking about you every second of the day, but she will give you a part of her that she knows you can breakâher heart. so dont hurt her, dont change her, dont analyze and dont expect more than she can give. smile when she makes you happy, let her know when she makes you mad, and miss her when shes not there.",Bob Marley,['love']
never trust anyone who has not brought a book with them.,"Lemony Snicket,","['books', 'reading']"
"you love me. real or not real?""i tell him, ""real.","Suzanne Collins,","['katniss', 'love', 'peeta', 'suzanne-collins', 'the-hunger-games']"
you can never get a cup of tea large enough or a book long enough to suit me.,C.S. Lewis,"['books', 'inspirational', 'reading', 'tea']"
we read to know were not alone.,"William Nicholson,","['misattributed-to-c-s-lewis', 'reading']"
"sometimes, you read a book and it fills you with this weird evangelical zeal, and you become convinced that the shattered world will never be put back together unless and until all living humans read the book.","John Green,","['books', 'power-of-words', 'reading']"
all you need is love. but a little chocolate now and then doesnt hurt.,Charles M. Schulz,"['chocolate', 'food', 'humor']"
"of course it is happening inside your head, harry, but why on earth should that mean that it is not real?","J.K. Rowling,",['dumbledore']
beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.,Jim Henson,['humor']
